Rank,Name,Team,Cl,Games,Goals,Per Game
-,Simao Coelho,Longwood,Jr.,11,4,.36
-,Eli Conway,UConn,Jr.,11,4,.36
-,Blake D'Agostino,California Baptist,Fr.,11,4,.36
-,Enzo Dovlo,UNC Greensboro,So.,11,4,.36
-,Joran Gerbet,Clemson,Sr.,11,4,.36
-,Maurice Hauser,Stetson,Fr.,11,4,.36
-,Lleyton Imparato,Memphis,Jr.,11,4,.36
-,Filip Jauk,Charlotte,Sr.,11,4,.36
-,Ross Johnstone,High Point,Sr.,11,4,.36
-,Alioune Ka,Cornell,Sr.,11,4,.36
-,James Maxwell,Purdue Fort Wayne,So.,11,4,.36
-,Luke Nicholson,Green Bay,So.,11,4,.36
-,Blake Pipkin,Colgate,Fr.,11,4,.36
-,Marc Pitarch Bayot,Bryant,Sr.,11,4,.36
-,TJ Presthus,Yale,Sr.,11,4,.36
-,Rui Reis,UIC,Jr.,11,4,.36
-,Fumiya Shiraishi,Missouri St.,Sr.,11,4,.36
-,Marco Silva,Marshall,So.,11,4,.36
-,Michael Switala,Canisius,Jr.,11,4,.36
-,Alejandro Velazquez-Lopez,South Carolina,Fr.,11,4,.36
-,Jaxon Reinhardt,North Florida,Jr.,4,2,.50
-,Matthew Roou,Notre Dame,Sr.,2,1,.50
-,Justin Ruth,Delaware,Sr.,4,2,.50
-,Joan Sanchis,Rhode Island,Jr.,4,2,.50
-,Hjalti Sigurdsson,Dayton,Sr.,4,2,.50
-,Javanne Smith,Lipscomb,Sr.,4,2,.50
-,Bailey Sparks,SMU,Sr.,4,2,.50
-,Ellis Spikner,Oregon St.,Sr.,4,2,.50
-,Oliver Stavdal,Kentucky,Fr.,2,1,.50
-,Wyatt Stevens,Navy,Fr.,4,2,.50
-,Kgodiso Sukati,UTRGV,Jr.,2,1,.50
-,Michael Switala,Canisius,Jr.,4,2,.50
-,Dylan Tellado,Harvard,So.,2,1,.50
-,Trace Terry,Bowling Green,Jr.,4,2,.50
-,Albert Thorsen,Pittsburgh,So.,4,2,.50
-,Pablo Torre,UTRGV,Fr.,2,1,.50
-,Luke Van Heukelum,Maryland,So.,4,2,.50
-,Colin Veltri,Elon,Jr.,4,2,.50
-,Kevin Ventura,Central Ark.,Sr.,4,2,.50
-,Fabian Wagner,Saint Francis,So.,4,2,.50
-,Wan Kuzri Wan Kamal,Akron,Sr.,4,2,.50
-,Titus Washington,Seattle U,Sr.,2,1,.50
-,Keith Willey,Utah Valley,Jr.,4,2,.50
-,Omar Yehya,Utah Valley,Sr.,4,2,.50
-,Matthew Zachemski,Wisconsin,Fr.,4,2,.50
-,Devin Zachry,Fairfield,Fr.,4,2,.50
-,Sebastian Zettl,Fla. Atlantic,Jr.,4,2,.50
-,Nick Zielonka,Kentucky,Sr.,2,1,.50
-,Vinzent Zingel,Pacific,Sr.,4,2,.50
